2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:01 +0100] "GET /chox_java8/css/login.css HTTP/1.1" 200 5167 F6F54D5D6DE2472132B28C5FBF8C004D 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-3
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:01 +0100] "GET /chox_java8/images/Valexa-Logo.gif HTTP/1.1" 200 13835 F6F54D5D6DE2472132B28C5FBF8C004D 3 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-20
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:01 +0100] "GET /chox_java8/images/chox_logo_small.jpg HTTP/1.1" 200 29480 F6F54D5D6DE2472132B28C5FBF8C004D 4 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-5
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:01 +0100] "POST /chox_java8/j_spring_security_check HTTP/1.1" 302 - 2451E3D446CC6DF564570C8557216E80 137 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-4
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:02 +0100] "GET /chox_java8/prv/inbox.action HTTP/1.1" 302 - 2451E3D446CC6DF564570C8557216E80 43 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-7
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:02 +0100] "GET /chox_java8/prv/inboxPage.action HTTP/1.1" 200 97375 2451E3D446CC6DF564570C8557216E80 124 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-6
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:02 +0100] "GET /chox_java8/css/chox-1.17-min.css HTTP/1.1" 200 23421 2451E3D446CC6DF564570C8557216E80 5 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-8
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:02 +0100] "GET /chox_java8/css/libs-1.17-min.css HTTP/1.1" 200 124074 2451E3D446CC6DF564570C8557216E80 6 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-9
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:02 +0100] "GET /chox_java8/css/chox_panel_theme-1.17-min.css HTTP/1.1" 200 1160 2451E3D446CC6DF564570C8557216E80 6 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-12
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:02 +0100] "GET /chox_java8/scripts/libs-1.17-min.js HTTP/1.1" 200 963434 2451E3D446CC6DF564570C8557216E80 63 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-13
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:02 +0100] "GET /chox_java8/scripts/choxall-1.17-min.js HTTP/1.1" 200 36919 2451E3D446CC6DF564570C8557216E80 4 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-10
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:03 +0100] "GET /chox_java8/prv/p/XmlUpload.action HTTP/1.1" 200 43991 5620CA1DDEDD406098F9F4B19A42148A 2482 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-14
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:03 +0100] "GET /chox_java8/prv/p/XmlUpload.action HTTP/1.1" 200 43991 D3EF6F9DBC16E3853B1759560604A3F3 2484 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-2
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:03 +0100] "GET /chox_java8/prv/p/XmlUpload.action HTTP/1.1" 200 43991 414ED8DFFD9E5EF506EB995CE970F28A 2499 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-1
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:03 +0100] "GET /chox_java8/prv/p/XmlUpload.action HTTP/1.1" 200 43991 2451E3D446CC6DF564570C8557216E80 1613 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-15
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:05 +0100] "POST /chox_java8/prv/p/getUploadedfiles.action HTTP/1.1" 200 28 2451E3D446CC6DF564570C8557216E80 1383 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-8
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:05 +0100] "POST /chox_java8/prv/p/getUploadedfiles.action HTTP/1.1" 200 28 414ED8DFFD9E5EF506EB995CE970F28A 2094 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-7
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:05 +0100] "POST /chox_java8/prv/p/getUploadedfiles.action HTTP/1.1" 200 28 D3EF6F9DBC16E3853B1759560604A3F3 2111 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-20
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:05 +0100] "POST /chox_java8/prv/p/getUploadedfiles.action HTTP/1.1" 200 28 5620CA1DDEDD406098F9F4B19A42148A 2109 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-19
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:21 +0100] "POST /chox_java8/prv/p/uploadNewClaimsFile.action HTTP/1.1" 200 123 2451E3D446CC6DF564570C8557216E80 16401 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-12
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:22 +0100] "POST /chox_java8/prv/p/getUploadedfiles.action HTTP/1.1" 200 310 2451E3D446CC6DF564570C8557216E80 721 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-4
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:41 +0100] "POST /chox_java8/prv/p/uploadNewClaimsFile.action HTTP/1.1" 200 123 D3EF6F9DBC16E3853B1759560604A3F3 35940 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-17
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:42 +0100] "POST /chox_java8/prv/p/uploadNewClaimsFile.action HTTP/1.1" 200 123 5620CA1DDEDD406098F9F4B19A42148A 36918 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-1
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:42 +0100] "POST /chox_java8/prv/p/getUploadedfiles.action HTTP/1.1" 200 299 D3EF6F9DBC16E3853B1759560604A3F3 1038 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-7
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:42 +0100] "POST /chox_java8/prv/p/uploadNewClaimsFile.action HTTP/1.1" 200 123 414ED8DFFD9E5EF506EB995CE970F28A 37019 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-18
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:42 +0100] "POST /chox_java8/prv/p/getUploadedfiles.action HTTP/1.1" 200 300 5620CA1DDEDD406098F9F4B19A42148A 529 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-9
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:42 +0100] "POST /chox_java8/prv/p/getUploadedfiles.action HTTP/1.1" 200 301 414ED8DFFD9E5EF506EB995CE970F28A 506 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-11
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:44 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 2451E3D446CC6DF564570C8557216E80 581 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-1
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:46 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 2451E3D446CC6DF564570C8557216E80 527 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-10
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:46 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 D3EF6F9DBC16E3853B1759560604A3F3 644 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-16
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:48 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 2451E3D446CC6DF564570C8557216E80 619 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-1
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:48 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 D3EF6F9DBC16E3853B1759560604A3F3 694 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-20
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:48 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 5620CA1DDEDD406098F9F4B19A42148A 625 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-9
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:49 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 2451E3D446CC6DF564570C8557216E80 848 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-3
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:50 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 D3EF6F9DBC16E3853B1759560604A3F3 1183 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-6
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:50 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 5620CA1DDEDD406098F9F4B19A42148A 1175 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-8
2a02:17d8:1000:400:0:0:5:1 - - [16/Aug/2017:11:35:51 +0100] "POST /chox_java8/prv/p/getUploadedClaimsDetails.action HTTP/1.1" 200 28 414ED8DFFD9E5EF506EB995CE970F28A 1072 "Apache-HttpClient/4.5.3 (Java/1.8.0_131)" catalina-exec-1
