28 Jul 2017 12:09:06 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'MM16YHJ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:06 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LL62HMD': HPI check functionality has been de-activated.
28 Jul 2017 12:09:06 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'YE64TXJ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:07 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'DU58ERZ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:07 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.InsurerUpload - Error getting HPI info for vrn 'RF16KSZ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:08 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'FL59YXZ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:09 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LY56ASO': HPI check functionality has been de-activated.
28 Jul 2017 12:09:09 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'MT56WYP': HPI check functionality has been de-activated.
28 Jul 2017 12:09:10 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'FL53FFE': HPI check functionality has been de-activated.
28 Jul 2017 12:09:10 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'MF14WVB': HPI check functionality has been de-activated.
28 Jul 2017 12:09:10 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'FP10HBA': HPI check functionality has been de-activated.
28 Jul 2017 12:09:11 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LM54KFC': HPI check functionality has been de-activated.
28 Jul 2017 12:09:12 INFO catalina-exec-16  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Banu, Hameeda (RSA)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='4002C745761EF46F271CBE58ADAE014B'.
28 Jul 2017 12:09:12 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'VN62RFK': HPI check functionality has been de-activated.
28 Jul 2017 12:09:12 INFO catalina-exec-6  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Axon, Tony (RSA)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='22511F62F59F8B42803F6855ABB41F0D'.
28 Jul 2017 12:09:13 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.InsurerUpload - Error getting HPI info for vrn 'DE17NWX': HPI check functionality has been de-activated.
28 Jul 2017 12:09:14 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'EX05YDT': HPI check functionality has been de-activated.
28 Jul 2017 12:09:14 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'W432XMJ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:15 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'NG11RKA': HPI check functionality has been de-activated.
28 Jul 2017 12:09:16 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'WK10UHU': HPI check functionality has been de-activated.
28 Jul 2017 12:09:17 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'FV08UXX': HPI check functionality has been de-activated.
28 Jul 2017 12:09:17 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'WF60ZRL': HPI check functionality has been de-activated.
28 Jul 2017 12:09:18 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'HJ12HDH': HPI check functionality has been de-activated.
28 Jul 2017 12:09:18 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'BN15VJZ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:19 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'CK06TLY': HPI check functionality has been de-activated.
28 Jul 2017 12:09:19 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LS56UXA': HPI check functionality has been de-activated.
28 Jul 2017 12:09:20 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'DS62FTA': HPI check functionality has been de-activated.
28 Jul 2017 12:09:20 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LL62OWK': HPI check functionality has been de-activated.
28 Jul 2017 12:09:20 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'K40TJA': HPI check functionality has been de-activated.
28 Jul 2017 12:09:21 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'RV12OOX': HPI check functionality has been de-activated.
28 Jul 2017 12:09:22 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'HG14CHK': HPI check functionality has been de-activated.
28 Jul 2017 12:09:22 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'MKZ4484': HPI check functionality has been de-activated.
28 Jul 2017 12:09:23 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'VK62FOC': HPI check functionality has been de-activated.
28 Jul 2017 12:09:23 INFO catalina-exec-3  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Batten, Zoe (Hertz Accident Support)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='40A2804AC99B4CDA207AE5DD6316C5CE'.
28 Jul 2017 12:09:23 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'W22AEB': HPI check functionality has been de-activated.
28 Jul 2017 12:09:24 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'MR55ALN': HPI check functionality has been de-activated.
28 Jul 2017 12:09:24 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'V8WLG': HPI check functionality has been de-activated.
28 Jul 2017 12:09:25 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'ST61MYR': HPI check functionality has been de-activated.
28 Jul 2017 12:09:25 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'GJ63DXG': HPI check functionality has been de-activated.
28 Jul 2017 12:09:26 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LO11BEJ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:26 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'FD09LMO': HPI check functionality has been de-activated.
28 Jul 2017 12:09:27 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'SM63JZR': HPI check functionality has been de-activated.
28 Jul 2017 12:09:28 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'FV56HDN': HPI check functionality has been de-activated.
28 Jul 2017 12:09:28 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'AF13FTA': HPI check functionality has been de-activated.
28 Jul 2017 12:09:29 INFO catalina-exec-4  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Jackson, Zoe (Octagon)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0' with HTTP sessionId='FDFD5392C26A86B5D9DA7286247B087B'.
28 Jul 2017 12:09:29 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LS60SUU': HPI check functionality has been de-activated.
28 Jul 2017 12:09:30 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'YL04WGD': HPI check functionality has been de-activated.
28 Jul 2017 12:09:31 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'WF16VDY': HPI check functionality has been de-activated.
28 Jul 2017 12:09:32 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'BT55CAA': HPI check functionality has been de-activated.
28 Jul 2017 12:09:33 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.InsurerUpload - Error getting HPI info for vrn 'HG65FNP': HPI check functionality has been de-activated.
28 Jul 2017 12:09:34 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'GD06DFP': HPI check functionality has been de-activated.
28 Jul 2017 12:09:34 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'RE58TEU': HPI check functionality has been de-activated.
28 Jul 2017 12:09:35 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'EJ08RFZ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:36 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'YG16JXZ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:37 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'EK66CMV': HPI check functionality has been de-activated.
28 Jul 2017 12:09:38 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LY05WMM': HPI check functionality has been de-activated.
28 Jul 2017 12:09:38 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'MF16TYP': HPI check functionality has been de-activated.
28 Jul 2017 12:09:39 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'CX53HFM': HPI check functionality has been de-activated.
28 Jul 2017 12:09:40 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'LF17EEO': HPI check functionality has been de-activated.
28 Jul 2017 12:09:40 INFO catalina-exec-18  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Huff, Rebecca (Motability)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='F326A33DFEDA5920471E86236E491827'.
28 Jul 2017 12:09:40 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'YC05KFD': HPI check functionality has been de-activated.
28 Jul 2017 12:09:41 INFO catalina-exec-8  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Wood, Daniel (RSA)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='EBE6459A745D576A7E33B0F240B88355'.
28 Jul 2017 12:09:41 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'FY66GCX': HPI check functionality has been de-activated.
28 Jul 2017 12:09:42 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'YG16OJZ': HPI check functionality has been de-activated.
28 Jul 2017 12:09:43 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'AV64OWO': HPI check functionality has been de-activated.
28 Jul 2017 12:09:43 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'X395KGF': HPI check functionality has been de-activated.
28 Jul 2017 12:09:44 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'FY60FGC': HPI check functionality has been de-activated.
28 Jul 2017 12:09:44 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'D2JDX': HPI check functionality has been de-activated.
28 Jul 2017 12:09:45 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'SA58ZGD': HPI check functionality has been de-activated.
28 Jul 2017 12:09:46 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'YR62ECN': HPI check functionality has been de-activated.
28 Jul 2017 12:09:48 INFO catalina-exec-15  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Chamberlain, Teresa (Drive Assist UK Ltd)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Apache-HttpClient/4.5.3 (Java/1.8.0_131)' with HTTP sessionId='8061A0112A8F9EBF5A99CCA2E8CE69B3'.
28 Jul 2017 12:09:48 INFO catalina-exec-3  idas.chox.web.security.CustomAuthenticationSuccessHandler - User 'Lal, Sharon (Direct Line Group)' logged-in successfully from IP address 2a02:17d8:1000:400:0:0:5:1 on browser 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0' with HTTP sessionId='841D3E0B0CE3DB450196FF028F8FE721'.
28 Jul 2017 12:09:48 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'WK13UHO': HPI check functionality has been de-activated.
28 Jul 2017 12:09:49 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'CK54ZFU': HPI check functionality has been de-activated.
28 Jul 2017 12:09:49 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'CX63LXH': HPI check functionality has been de-activated.
28 Jul 2017 12:09:49 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'NL07CGG': HPI check functionality has been de-activated.
28 Jul 2017 12:09:50 WARN catalina-exec-20 Bennett, Ian 3721 idas.chox.service.workflow.activities.NewClaim - Error getting HPI info for vrn 'SE08UTB': HPI check functionality has been de-activated.
